POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
MEI;Valdivia;internacional;7.94;-1.2;internacional;coritiba;1#4#0#0#2#0#0#0#0
MEI;Paulo Roberto;figueirense;7.93;1.8;figueirense;palmeiras;
MEI;Fellipe Bastos;grêmio;7.91;3.6;são paulo;grêmio;2#2#0#0#0#0#0#0#0
ATA;Mendoza;corinthians;7.79;11.9;joinville;corinthians;9#12#0#0#0#3#1#0#0
MEI;Josimar;pontepreta;7.79;6.1;santos;ponte preta;6#11#1#0#0#2#0#0#0
GOL;Danilo Fernandes;sport;7.75;8;fluminense;sport;1#0#0#0#0#0#0#0#0
ZAG;Samir;flamengo;7.6;4;flamengo;chapecoense;0#1#0#0#0#2#0#0#0
ATA;Kelvin;palmeiras;7.6;-0.5;figueirense;palmeiras;7#11#2#0#5#2#0#0#0
ZAG;Pablo;pontepreta;7.47;4.4;santos;ponte preta;4#7#0#0#0#1#0#0#0
MEI;Ricardinho;figueirense;7.38;0.7;figueirense;palmeiras;5#6#1#0#0#1#0#1#0
LAT;Pablo;avaí;7.15;4.6;goiás;avaí;15#16#0#0#0#3#0#0#0
ATA;Edmílson;chapecoense;7.15;0.3;flamengo;chapecoense;1#5#0#0#1#1#0#1#0
MEI;Charles;cruzeiro;7.12;2;atlético-mg;cruzeiro;2#14#0#0#0#1#1#0#0
ATA;Paulinho;coritiba;7.11;6.2;internacional;coritiba;2#4#0#0#0#2#1#1#0
ZAG;Leandro Almeida;coritiba;7.04;-1.9;internacional;coritiba;2#9#0#0#1#0#0#0#0
ATA;Maikon Leite;sport;7.03;13.7;fluminense;sport;2#6#0#1#1#1#1#0#0
MEI;Marcelo Costa;joinville;6.99;-3;joinville;corinthians;4#5#0#0#0#2#0#1#0
MEI;Rodrigo;goiás;6.96;3.9;goiás;avaí;2#3#0#0#2#1#1#0#0
LAT;Anderson Pico;flamengo;6.95;-1.5;flamengo;chapecoense;2#14#0#0#1#0#0#0#0
TEC;Hélio Dos Anjos;goiás;6.94;1.26;goiás;avaí;-#-#-#-#-#-#-#-#-
MEI;Luís Cáceres;coritiba;6.94;1.7;internacional;coritiba;0#0#0#0#0#0#0#0#0
ZAG;Bruno Aguiar;joinville;6.93;1.6;joinville;corinthians;
MEI;Anselmo;joinville;6.77;1.4;joinville;corinthians;6#8#0#0#0#1#0#0#0
LAT;Everton;goiás;6.72;-1.6;goiás;avaí;2#16#0#0#0#0#0#2#0
MEI;Márcio Araújo;flamengo;6.62;2.4;flamengo;chapecoense;6#4#0#0#0#0#0#0#0
